Time (s),Manipulability,Joint Velocities
3.9898860454559326,1.1259201394217015,"[1.1639526503664874, 0.11182009439872033, 0.5246587048911906, 0.2334367107842902, -0.24149416672106466, 0.6767227798283143, -0.15935173768109262, 0.3288079900048492, -0.8122681162747049, -0.2666712831032245]"
4.035227537155151,1.1086395929445203,"[1.1760651306284258, 0.10895023432238357, 0.5404739759016598, 0.24272746132032738, -0.24136599326941102, 0.6829953174007711, -0.15927151203132378, 0.34006179019733473, -0.8198039216206614, -0.2919172492547031]"
4.07068657875061,1.091307299665689,"[1.1886218155964108, 0.10619330146489019, 0.5569832510412719, 0.25256563525569403, -0.24129098309171143, 0.6895311664663983, -0.15922608724812992, 0.3509608959010479, -0.8276543858770858, -0.3183652962913572]"
4.085902452468872,1.0739651678705568,"[1.201627269620009, 0.10355343116467654, 0.5742024350159961, 0.26296959890636185, -0.24125085309960942, 0.6963460428784108, -0.15919793662133497, 0.3614416725682991, -0.8358176877124952, -0.34613050423272834]"
4.11592435836792,1.056656880974004,"[1.215097749993953, 0.10103841719841897, 0.5921656446903609, 0.27398232597594796, -0.2412439031078122, 0.7034484445809165, -0.1591860402585499, 0.37144036683968273, -0.8443062939828638, -0.37535657171550174]"
4.153468132019043,1.0394274585292513,"[1.2290572259977257, 0.09865705439511513, 0.6109224839532146, 0.28565379758428927, -0.2412753992661467, 0.7108499575174781, -0.15919256573794827, 0.38088973304000173, -0.8531389903958199, -0.4062123681496054]"
4.165593385696411,1.022323076274798,"[1.2435347449823086, 0.09642040245203608, 0.6305338934066741, 0.29804603918830114, -0.2413541027303017, 0.718561971503246, -0.1592255869117971, 0.3897125966303282, -0.862339842052526, -0.43889237542097403]"
4.188522815704346,1.0053908406871632,"[1.2585651020398736, 0.09434195889219348, 0.6510716596569424, 0.31123897855193705, -0.24149241564521817, 0.7265947681329471, -0.15929942846870612, 0.397818765398465, -0.8719391826613887, -0.47362372921825835]"
4.221645355224609,0.9886785510956264,"[1.274185671283501, 0.09243606572438291, 0.6726133045224517, 0.325320180655624, -0.24170442350394744, 0.7349608122194351, -0.15942745055361554, 0.4050979606442973, -0.8819682060868148, -0.5106662866026762]"
4.259572982788086,0.9722346476947535,"[1.290419712271349, 0.09071026476957961, 0.6952148582981057, 0.34034560078898723, -0.24198257552593563, 0.743675828048934, -0.15959329339708914, 0.41139068553815783, -0.8924369870908585, -0.5502914620574207]"
